Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Was Fillmore the first U.S. President born after the death of a former president ?,yes,,easy
Are violins a single size?,No,easy,hard
"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",Yes.,,easy
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,hard,medium
How many species of penguins are there?,"Penguin biodiversity varies between 17 and 20 living species, all in the subfamily Spheniscinae.",hard,hard
Is the Wisma building the tallest building in Indonesia?,"Yes,",easy,easy
What is the official language of Turkey?,Turkish is the official language of Turkey.,medium,medium
Is the otter in the same family as the badger?,Yes,hard,hard
Is it advantageous for a grand piano's metal plate to be quite massive?,yes,easy,easy
"What is ""tobogganing""?",Tobogganing is when penguins slide on their bellies across the snow.,medium,hard
Was Tesla hired by Edison?,Yes,easy,easy
Did Faraday construct the ancestor of modern power generators?,yes,hard,easy
Does Egypt's foreign policy operates along moderate lines?,Yes.,easy,easy
When did he drop John from his name?,Upon graduating from college,medium,medium
Is it the world 's second largest country by total area?,yes,,easy
Did Faraday construct the ancestor of modern power generators?,yes,hard,easy
"During his lifetime, did Pollock enjoy considerable fame and notoriety?",Yes.,,easy
Where was the largest elephant ever recorded shot?,Angola,medium,medium
Can a panther be any of several species of large felid?,Yes,,easy
When did Coulomb return to Paris?,In 1759.,,medium
Can guitars be divided into two broad categories?,yes,easy,easy
"The SI unit of charge, the coulomb, was named after him?",Yes,,easy
Where was Avogadro a professor of physics?,University of Turin,medium,medium
Are elephants good swimmers?,yes,easy,easy
Is Romania a secular state?,Yes.,easy,easy
Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy
What is the capital of Indonesia?,The capital of Indonesia is Jakarta.,medium,easy
Was Pascal a French mathematician?,Yes.,easy,easy
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,hard,hard
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,,medium
What did the University of Oxford grant Faraday?,Doctor of Civil Law degree (honorary),medium,medium
"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla,,easy
Was Celsius born in Uppsala in Sweden ?,Yes,,easy
Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes,,easy
Why is the Giant Panda an endangered species?,threatened by habitat loss,hard,medium
What is the Swahili word for the Swahili language?,Kiswahili,medium,hard
"Has Equestrianism been a long tradition, popular among the Tsars and aristocracy?",yes,,easy
Would it be common for tigers to mate in January?,Yes,hard,medium
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,hard,hard
The xylophone is an instrument from what family?,the percussion family,medium,medium
Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there.",,easy
Was Grover Cleveland born in New York?,no,easy,easy
Where is Qatar's telecommunication system centered?,Doha.,medium,medium
Hassan Massoudy is a master of what genre?,Hassan Massoudy,hard,medium
Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea,hard,medium
How large is the population of San Francisco?,"San Francisco has an estimated population of 808,976.",medium,medium
Was he a member of the Royal Superior Council on Public Instruction?,Yes,easy,easy
In which country is Portuguese the co-official language with Cantonese Chinese?,Macau,hard,medium
Where do most people in urban Saint Petersburg live?,Apartments.,medium,hard
Is the Asian elephant larger than the African?,Sometimes,easy,hard
When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,medium,medium
Is Indonesia a monarchy with a presidential system?,No,easy,easy
What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium
Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes.,,easy
Can otters survive in cold water?,Yes,easy,medium
Where is the largest gray wolf population thought to be found?,Kazakhstan,medium,hard
Has the design of drums changed recently?,no,hard,medium
Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade.",hard,hard
Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio,medium,medium
Was Nikola Tesla close friends with Mark Twain?,Yes,easy,easy
Does snow fall in Egypt?,Yes,hard,hard
Is english a de  jure  official  language  of Israel?,no,,easy
Why did Roosevelt start Boxing lessons?,To deal with bullies,medium,medium
The collective noun romp is sometimes used for a group of what?,Otters,,medium
Why does Jakarta suffer frequent flooding?,"The fact that the northern part of Jakarta lies on a plain, approximately eight meters above the sea level.",hard,hard
Where did Watt attend university?,He did not attend a university.,hard,hard
Is a beetle's general anatomy uniform?,yes,easy,easy
Was Alessandro Volta an Egyptian?,no,easy,easy
Wasn't Portuguese language spread by arriving Roman soldiers?,Yes.,,easy
Where did Watt attend university?,Watt did not attend school regularly.,hard,hard
Where are there craters named Becquerel?,Moon and Mars,hard,hard
"What is ""tobogganing""?",when penguins slide on their bellies across the snow,medium,hard
Are many beetles territorial?,Yes.,,easy
What areas do the Grevy's Zebras inhabit?,semi-arid grasslands of Ethiopia and northern Kenya,hard,hard
Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch,medium,hard
Do otters have claws?,Yes,easy,easy
Was Avogadro a  professor at the University of Turin?,Yes,easy,easy
What is the best known story about a swan?,The Ugly Duckling,medium,medium
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,hard,hard
What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.,hard,hard
"Based on the average, in what year will the next small tremor occur in Ottawa?",2009,hard,hard
What are deposited in holes dug into mud or sand?,eggs,,easy
Does Modern Standard Arabic continue to evolve like other languages?,yes,easy,easy
How is the city's governor chosen?,Through election.,hard,hard
Does snow fall in Egypt?,Yes.,hard,hard
Who was President when Wilson finished Congressional Government?,Grover Cleveland,medium,medium
Do swans belong to the family Anatidae?,Yes,easy,easy
Do sea otters live along the Pacific coast?,Yes,easy,easy
Is polar bear a mammal?,Yes,easy,easy
"Was Millard Fillmore born on January 7, 1800?",yes,easy,easy
When did Filippo Strozzi sell it to Francis I?,In 1529.,,medium
"Which came first, the xylophone or the vibraphone?",xylophone,hard,hard
Did John Adams go to Harvard? ,yes,easy,medium
Was Grant's father-in-law a Democrat?,Yes,easy,easy
Are Indian concert flutes available in standard pitches?,Yes.,easy,easy
When did Nikola Tesla appear on the cover of Time Magazine?,1931,medium,medium
Who created Monas Park,General Herman Willem Deandels,medium,medium
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties""",medium,medium
What suborder of turtle draws its head into its shell?,Pleurodira,hard,hard
Who died in 1832?,Margaret Miller.,,medium
Does the giant otter live in South America?,Yes,easy,easy
Can syllables begin with a vowel?,no,,easy
is it home to the parliament of malaysia?,Yes,easy,medium
Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller,medium,medium
Can beetles be found in almost all habitats?,Yes.,,easy
"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes,,easy
Are diving ducks heavier tha dabbling ducks?,Yes,easy,easy
What does the air stream across this hole create?,"A Bernoulli, or siphon.",hard,medium
Where is Uruguay's oldest church?,"San Carlos, Maldonado.",medium,medium
Is a guitar an instrument?,Yes,easy,easy
When was the pan flute spread to other parts of Europe?,7th century BC.,hard,hard
Name a turtle popularly kept as a pet.,Russian Tortoises,medium,hard
Does Uruguay border French Guiana?,No,easy,easy
Are all spoken varieties of Chinese tonal and analytical?,yes,easy,easy
What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia,,easy
Are there also discussions of having OC Transpo Light Rail and STO Transitway networks linking on the Gatineau side of the Ottawa River ?,Yes.,,easy
Which species of zebra is known as the common zebra?,Plains Zebra,hard,medium
Can speakers of modern Malay understand Old Malay?,No,hard,hard
Did Jayawikarta's soldiers attack the Dutch fortress?,yes,,easy
What was Adams' political party?,Federalist,hard,hard
Who was Avogadro's wife?,Felicita Mazzé was Avogadro's wife.,hard,hard
Are the z-holes used as access points to the interior of the cello? ,No,easy,easy
What is the color of the Australian Black Swan?,Completely black except for the white feathers on its wings,hard,medium
Can turtles take many years to reach breeding age ?,yes,,easy
What are the three cat species that are native to Canada?,"The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx.",hard,medium
What did Faraday invent that is used almost universally in science laboratories?,the Bunsen burner,medium,medium
Is Calvin Jr. older than John Coolidge?,No,hard,hard
Are famous middle  schools  in Beijing :?,Yes,,easy
Have plains zebras been crossed with mountain zebras?,Yes,easy,easy
Name a turtle popularly kept as a pet.,Russian Tortoises,medium,hard
"In 1820, Avogadro became a professor of physics where?",University of Turin,medium,hard
What kind of words have been borrowed from Chinese?,Vietnamese adopts words from Chinese which express abstract ideas.,hard,hard
How many subspecies of the Giant Panda are there?,Two,medium,medium
Is there an airport in Liechtenstein?,No.,easy,easy
Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan.",easy,easy
Is the leopard smaller than the other members of Panthera?,Yes,easy,easy
Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.,medium,medium
What are violins made of?,"maple, ebony, sheep gut",hard,hard
Who did Wilson win in 1917?,Irish Americans,,hard
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. ,medium,easy
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human,,hard
What is the average life expectancy of a kangaroo?,4 to 6 years,medium,hard
Is Canada a geographically vast and ethnically diverse country ?,yes,,easy
Where is harvesting wild turtles legal?,Florida,medium,easy
How old was Lincoln in 1816?,seven,medium,medium
Did Monroe' wedding happen at the Trinity Church in New York?,Yes,hard,easy
What was Roosevelt's justification for supporting desegregation of schools in New York?,Noting that his children had been educated with other races and there was nothing wrong with it,hard,hard
Who discovered benzene?,Michael Faraday discovered benzene.,medium,medium
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,,hard
Is Amedeo Avogadro Italian?,Yes,hard,easy
Did he become chief engineer in the Department of Bridges and Highways in 1892?,yes,easy,easy
Does the octopus have two eyes?,"Yes, the octopus has two eyes.",easy,easy
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.,,hard
What is the Polish word for swan?,Łabędź,hard,easy
What was one of the results of the introduction of the new Turkish alphabet?,There was a dramatic increase in literacy from its original Third World levels.,hard,medium
Is Ottawa colder than Moscow in January?,Yes,hard,easy
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,medium,medium
Does otter give birth or lay egg?,give birth,hard,hard
"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,hard,easy
Does an ant's head contain sensory organs?,yes,easy,easy
Can guitars be divided into two broad categories?,Yes,easy,easy
Are there several types of trumpet?,yes,,easy
Egyptian Arabic is spoken by how many in Egypt?,76 million,medium,medium
What is the last word on the page?,Connecticut,easy,easy
What centred in Sierra?,The leopard men,,medium
Was Henri Becquerel the sole winner of the 1903 Nobel Prize in Physics?,No,hard,hard
How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound),medium,medium
Did the U.S. join the League of Nations?,no,easy,easy
Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery,hard,hard
What are the most common Cymbals?,"Hi-Hats, Crash, Splash, Ride, and China",medium,easy
What is the highest mountain in Romania?,Moldoveanu Peak,medium,medium
What is a roo?,a kangaroo,hard,medium
Is Portuguese an official language of several international organizations?,Yes.,,easy
Are violas and cellos in the same family of instruments as violins?,Yes,easy,easy
What type of tools do biologists use to capture wolves for tagging?,Darting and foot hold traps,hard,hard
Did Roosevelt support racial integration in schools?,He supported a bill allowing school desegregation in New York State.,hard,hard
Is Liechtenstein bordered by Switzerland?,Yes,easy,easy
What did James Monroe do before being elected governor?,He practiced law in Virginia.,hard,medium
"However , are non-human plural nouns grammatically considered to be feminine singular ?",yes,,easy
"Have adverbs of time to appear in the third place in the sentence , just after the predicate ?",Yes,,easy
Are beetles insects?,Yes,easy,easy
How many species of beetles are there?,"350,000",medium,medium
Do scholars rank lincoln among the top three presidents?,Yes,easy,easy
Is the most important river the Ciliwung River,yes,easy,easy
Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada.",easy,medium
Has another US President been an Eagle Scout?,no,hard,hard
Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada.",easy,medium
What is the name of a university (or similar institution for imparting higher education) in Beijing?,Tsinghua University,,hard
Where was Avogadro a professor of physics?,University of Turin,medium,medium
Why does the cornet have a slightly mellower tone than the trumpet?,The cornet and flugelhorn have conical bores,hard,hard
Is there a definite article in Turkish language?,No.,easy,easy
What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.,easy,medium
Who assassinated Lincoln?,John Wilkes Booth,medium,hard
Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes,,easy
Are foxes wary of humans?,Yes,easy,easy
"In Switzerland, is ß used at all?",no,,easy
Is it possible to alter the word order to stress the importance of a certain phrase?,Yes,easy,easy
What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.,hard,hard
Were ancient mallets made of copper?,no,easy,easy
Is Antwerp in Belgium?,Yes,easy,easy
How much do wolves weigh?,between 32 and 68 kilograms ,medium,easy
Interaction with what man stirred up Newton's interest in alchemy?,Henry More,hard,hard
What was Michael Faraday`s birthplace?,Newington Butts,,hard
When did the Gettysburg address argue that America was born?,1776,hard,hard
What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.,medium,easy
Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City,medium,medium
Is lyre played in mordern Greece?,No,easy,easy
What areas can giraffes inhabit?,"inhabit savannas, grasslands, or open woodlands",medium,easy
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium
What is a resident of Melbourne known as?,Melburnian,medium,medium
How do otters keep themselves warm without blubber?,a layer of air trapped in their fur,hard,hard
Are cymbals used in moden orchestras?,Yes,easy,easy
Are drums often used in music therapy?,yes,easy,easy
Are elephant populations in West Africa generally small and fragmented?,yes,easy,easy
Is Melbourne home to Australia's busiest seaport?,Yes.,easy,easy
What are the smallest trumpets referred to as?,Piccolo trumpets,medium,medium
Are all dialects of Korean similar to each other?,Yes,easy,easy
Is Nassau Range the highest mountain range in the world?,no,hard,easy
What makes San Francisco among the top-ten North American destinations for conventions and conferences,a large hotel infrastructure and a world-class convention facility in the Moscone Center,medium,medium
What happened in 1838?,Don José Ruiz y Blasco was born,,hard
When did Beijing host the Olympic Games?,2008,medium,medium
Is a kangaroo a reptile?,No,easy,easy
"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes,,easy
How tall were the tallest prehistoric penguins?,1.80 meters,medium,medium
What is named after him?,The Celsius crater on the Moon,,medium
When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,easy,medium
Did Faraday also discover the laws of electrolysis?,yes,easy,easy
Are turtles ectothermic?,yes,,easy
What are zebras hunted for?,mainly for their skins,medium,medium
Did Singapore's standard of living decrease since independence?,"No, the standard living was raised.",easy,medium
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York",medium,medium
James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229,medium,hard
Is Swahili a Bantu language?,yes,easy,easy
Is an Asian elephant smaller than an African elephant?,yes,hard,hard
What is the most densely populated independent country in the world?,Monaco,medium,hard
Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building,hard,hard
Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,yes,,easy
Qatar became an independent sovereign state in what year?,"On September 3, 1971.",,medium
What method is used by Kangaroos to travel?,hopping,hard,medium
Did Charles-Augustin de Coulomb come from a poor family?,No.,hard,easy
Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin.",easy,hard
What does Henri Becquerel do?,Henri Becquerel was a physicist.,,hard
"after the 2008 elections, what party had the most parliament seats?",DAP,hard,hard
Is Matti Vanhanen the Prime Minister of Finland?,Yes,easy,easy
Where is Adams buried?,United First Parish Church,medium,medium
What is the official language of Liechtenstein?,German,medium,medium
Is it the smallest german-speaking country in the world?,Yes,,easy
Was Henri Becquerel one of the discoverers of radioactivity?,Yes,easy,easy
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal",medium,hard
Do butterflies have two eyes?,"Yes, butterflies have two eyes.",easy,easy
What did Pascal argue was as perfect as possible?,the procedure used in geometry ,medium,medium
What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.,hard,medium
Was Monroe appointed Minister to France from 1794 to 1796?,yes,,easy
What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,medium,medium
"Did ford get an award called ""Congressman's congressman""?",Yes,easy,easy
What is located at the end of the guitar neck furthest from the body?,headstock,medium,medium
What was the Consitution Act formerly called?,British North America Act,medium,medium
"Are penguins considered ""higher waterbirds""?",yes,easy,easy
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes,,easy
Does salmon remain the favorite of fly rod enthusiasts?,Yes,easy,easy
How many main varieties of Indian flutes are currently used?,Two,medium,medium
Are turtles pets?,Yes,easy,medium
Are bees related to ants?,yes,easy,hard
Who assassinated Lincoln?,John Wilkes Booth,medium,hard
In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium
Was Adams raised Congregationalist?,Yes.,easy,easy
Was Faraday born in England?,yes,easy,easy
Is Arabic classified alongside Semitic languages?,Yes,easy,easy
Are ride cymbals very common?,yes,easy,easy
Do they prefer forested areas?,Yes,easy,easy
Who did James Monroe marry?,Elizabeth Kortright,medium,medium
"In ant colonies, what are the fertile female ants called?",queens,medium,medium
For how many years did Henri Becquerel live?,56,,hard
Whom are guitars made and repaired by?,luthiers,medium,easy
What was Roosevelt's justification for supporting desegregation of schools in New York?,that his children had been educated with other races and there was nothing wrong with it,hard,hard
Do drums consist of at least eight membranes?,no,easy,easy
Are Octopus highly intelligent?,yes,,medium
About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.,medium,easy
What did the University of Oxford grant Faraday?,a Doctor of Civil Law degree (honorary),medium,medium
What is the Irish legend of the Children of Lir about?,a stepmother transforming her children into swans for 900 years,medium,medium
Was Amedeo Avogadro was born in Turin?,yes,easy,easy
What are Carleton University's athletic teams called?,Carleton Ravens,hard,medium
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard
Did John Adams represent the Continental Congress in Europe?,Yes.,easy,easy
What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.,hard,easy
Are turtles ectothermic?,yes,easy,easy
Is the violin shaped like an hourglass?,Yes,easy,easy
To what genus does the gray wolf belong?,Canis,medium,medium
Which embassy in Nairobi was bombed in August 1998?,The United States Embassy,medium,medium
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes,easy,easy
Was the pan flute used in Greece?,Yes,easy,easy
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts to take up the practice of law",hard,medium
When was the pan flute used in Greece?,the 7th century BC,medium,medium
Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. ,easy,easy
Which county was Lincoln born in?,"Southeast Hardin County, Kentucky",medium,medium
Did Lincoln sign the National Banking Act of 1863?,Yes.,easy,easy
Is an otter 's den called a holt ?,yes,,easy
How many black keys do modern pianos have?,36,medium,medium
Is the Gray Wolf a mammal?,Yes,easy,easy
Is an elephant's skin tough?,Yes,easy,easy
Does Uruguay border French Guiana?,No,easy,easy
Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes,easy,easy
Was Adams an opponent of the Stamp Act?,Yes.,easy,easy
What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. ,hard,hard
"Who was the victor of the ""War of Currents""?",Tesla,hard,hard
Do otters enjoy playing?,yes,hard,easy
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.,hard,medium
Are Pleurodira known as side-necked turtles?,yes,easy,easy
Was Gerald Ford a member of Delta Kappa Epsilon?,Yes,easy,easy
What was made in Russia's largest foundry?,Thousands of sculptures and statues.,hard,medium
Was Charles-Augustin de Coulomb a Spanish Biologist?,"No, he was a French physicist.",easy,easy
Did Nikola Tesla die alone?,Yes,easy,easy
What is a person that makes or repairs violins called?,"A luthier, or simply a violin maker.",hard,medium
Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes,hard,hard
"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",yes,,easy
What music group was named after Tesla?,Tesla,hard,hard
"Why did Grant say ""Damn, I had nothing to do with this batte.""?",Because the generals under him acted on their own.,hard,hard
Is Korean the official language of Korea?,Yes,easy,easy
Is he also noted for his work for the Boy Scouts of America (BSA)?,yes,,easy
When did Charles IX order Amati to construct 24 violins for him?,1560,,medium
Is uruguay's landscape mountainous?,No.,hard,easy
How many legs do lobsters have?,10.,medium,medium
Is Volta buried in the city of Pittsburgh?,no,easy,easy
What are young swans known as?,cygnets,medium,medium
When did Netwon investigate the refraction of light,1670-1672,hard,hard
About how many people are estimated to live in Nairobi?,3 million,hard,hard
Is catalan the only  official  language  of Andorra?,Yes,,easy
"In Belgium, however, is quatre-vingts universally used?",Yes,,easy
Where was Henri Becquerel born?,Paris,medium,easy
Is it a host city for the Formula One World Championship?,Yes,easy,medium
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. ",medium,easy
What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.,medium,hard
"As a celebrator of beauty, and especially feminine sensuality, has it been said that ``Renoir is the final representative of a tradition which runs directly from Rubens to Watteau''?",Yes.,,easy
"Does Beijing mean ""northern capital""?",yes,easy,easy
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes,,easy
What is an economic use of a duck?,Meat,medium,medium
Whom are guitars made and repaired by?,Luthiers.,medium,medium
What method of locomotion do Kangaroos Use?,hopping,medium,medium
When did Monroe's presidency expired?,"March 4, 1825.",medium,medium
What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport,medium,medium
Are the dialects of Finnish divided into two groups?,Yes,easy,easy
How long is a leopard's tail?,60-110cm,medium,medium
Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.,medium,hard
What kinds of coats do wolves have?,bulky coats with two layers,medium,medium
What are the two main varieties of Indian flutes?,"The first, the Bansuri. The second, the Venu or Pullanguzhal",hard,hard
What subject did Avogadro study first?,ecclesiastical law,hard,hard
Where was Isaac Newton buried?,Westminster Abbey,hard,medium
Was Becquerel a French physicist?,yes,easy,easy
What is the second main orchestral use of cymbals?,the suspended cymbal,medium,medium
What happened in 1894?,"Jean-Baptiste Arban published ""Complete Conservatory Method for Trumpet.""",,hard
Is it true that adams had spent some time as the ambassador?,yes,,easy
When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.,medium,medium
"In ant colonies, what are the fertile female ants called?",queens,medium,medium
Was Monroe anticlerical?,no,,easy
Is Modern Korean written with spaces between words?,Yes.,,easy
Why are otters vulnerable to prey depletion?,prey-dependency,medium,medium
Is the city named after the apostle Saint Peter?,yes,easy,easy
"Do his works enjoy a broad popular appeal in the United States, where Rockwell is most famous for the cover illustrations of everyday life scenarios he created for The Saturday Evening Post magazine over more than four decades?",yes,,easy
The Celsius crater on the Moon is what?,named after him,,medium
How many regions is Ghana divided into?,10,medium,medium
Do all eels live in fresh water?,"No, not all eels live in fresh water.",hard,hard
Is fifty percent or more of Korean vocabulary of Chinese origin?,yes,easy,easy
Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  ",medium,hard
"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",154,,hard
How many international airports does Montreal have?,Montreal has two international airports.,medium,easy
What are orchestral crash cymbals technically called?,clash cymbals,hard,hard
Was Nikola Tesla a vegetarian?,Yes,hard,easy
What is a trumpet constructed of?,brass tubing bent twice into an oblong shape,medium,medium
In what year was Nairobi founded?,1899,medium,medium
Do penguins feed on krill?,yes,easy,easy
"Was James Cook the first to record the name ""Kangooroo?""",Yes,easy,medium
Is Uruguay's capital Montevideo?,Yes.,easy,easy
What makes a trumpet fully chromatic?,able to play all twelve pitches of Western music,hard,easy
Does Romania border Hungary?,yes,easy,easy
What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.,,hard
Who has released an album or song named Santiago?,The Chieftains and Loreena McKennitt,medium,hard
When did Qatar become an independent state?,"September 3, 1971.",medium,medium
Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes,,easy
Is it true that Becquerel wrapped a fluorescent substance in photographic plates?,Yes,,easy
Is romania a semi-presidential unitary state?,Yes,,easy
What is the Arabic word for municipalities?,baladiyah,hard,hard
Is Dhaka the capital of Bangladesh?,Yes,easy,easy
Was Adams the first to introduce a bicameral legislature?,Yes.,hard,hard
What does a polar bear's fur provide?,It provides the animal with effective camouflage.,medium,medium
Did Vietnamese come to predominate politically in 2nd century BC?,"No, Chinese came to predominate politically in the 2nd century B.C.",hard,easy
"Did Millard Fillmore die on March 8, 1974?",no,easy,easy
Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century.,hard,hard
Does the United States have a base near Glasgow?,yes,hard,hard
How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep,hard,hard
Was Liechtenstein part of the ancient Roman province of Raetia?,Yes,easy,easy
Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted.",hard,hard
Are lobsters kosher?,No,easy,easy
Where is San Francisco?,San Francisco is located on the West Coast of the United States at the tip of the San Francisco Peninsula.,medium,medium
"What does the ""voice"" of a violin depend upon?",Shape,hard,medium
Do penguins live almost exclusively in the Southern Hemisphere?,yes,easy,easy
When did Tesla receive his last patent?,1928,medium,medium
Did John Adams represent the Continental Congress in Europe?,yes,easy,easy
Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.,hard,hard
"Based on the average, in what year will the next small tremor occur in Ottawa?",2009,hard,hard
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,Yes,easy,easy
Is the larger work now almost universally attributed to Leonardo?,"Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo.",,medium
How much time to penguins spend on land?,half of their life,hard,hard
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007,,medium
"Do all ducks ""quack""?",no,easy,medium
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,easy,easy
Is Egypt the most populated country in Africa?,no,easy,medium
Who got Seward elected to the senate?,Weed,medium,medium
What is the Arabic word for municipalities?,baladiyah.,hard,hard
What do zebras eat?,"Grasses, shrubs, herbs, twigs, leaves, and bark",medium,hard
What is the cause of local earthquakes?,It was the San Andreas Fault which slipped and caused the earthquakes in 1906 and 1989.,hard,medium
Is Melbourne the capital and most populous city in the state of Victoria?,Yes.,easy,easy
In which country is Portuguese the co-official language with Cantonese Chinese?,Portuguese is the co-official language with Cantonese Chinese in Macau.,hard,medium
